Starting CloudSim version 3.0
Broker is starting...
Datacenter is starting...
PeakPowerObserver is starting...
Entities started.
0.0: Broker: Cloud Resource List received with 1 resource(s)
[VmScheduler.vmCreate] Allocation of VM #73 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #73 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #73 to Host #17 failed by RAM
0.0000: VM #73 has been allocated to the host#18 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #74 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #74 to Host #17 failed by RAM
0.0000: VM #74 has been allocated to the host#18 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #75 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #75 to Host #17 failed by RAM
0.0000: VM #75 has been allocated to the host#18 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #76 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #76 to Host #18 failed by RAM
0.0000: VM #76 has been allocated to the host#19 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #77 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #77 to Host #18 failed by RAM
0.0000: VM #77 has been allocated to the host#19 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #78 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #78 to Host #18 failed by RAM
0.0000: VM #78 has been allocated to the host#19 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #79 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #79 to Host #18 failed by RAM
0.0000: VM #79 has been allocated to the host#19 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #80 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #18 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #80 to Host #19 failed by RAM
0.0000: VM #80 has been allocated to the host#20 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #81 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #18 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #81 to Host #19 failed by RAM
0.0000: VM #81 has been allocated to the host#20 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #82 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #18 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #82 to Host #19 failed by RAM
0.0000: VM #82 has been allocated to the host#20 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #83 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #18 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #83 to Host #19 failed by RAM
0.0000: VM #83 has been allocated to the host#20 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #84 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #18 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #19 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #84 to Host #20 failed by RAM
0.0000: VM #84 has been allocated to the host#21 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #85 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #18 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #19 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #85 to Host #20 failed by RAM
0.0000: VM #85 has been allocated to the host#21 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #86 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #18 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #19 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #86 to Host #20 failed by RAM
0.0000: VM #86 has been allocated to the host#21 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #87 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #18 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #19 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #87 to Host #20 failed by RAM
0.0000: VM #87 has been allocated to the host#21 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #88 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #18 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #19 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #20 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #88 to Host #21 failed by RAM
0.0000: VM #88 has been allocated to the host#22 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #89 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #18 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #19 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #20 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #89 to Host #21 failed by RAM
0.0000: VM #89 has been allocated to the host#22 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #90 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #12 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #13 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #14 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #15 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #16 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #17 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #18 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #19 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #20 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #90 to Host #21 failed by RAM
0.0000: VM #90 has been allocated to the host#22 datacenter #3(Datacenter) #
[VmScheduler.vmCreate] Allocation of VM #91 to Host #0 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #1 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #2 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #3 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #4 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #5 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #6 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #7 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #8 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #9 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #10 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #11 failed by RAM
[VmScheduler.vmCreate] Allocation of VM #91 to Host #12 failed by RAM
